Tratamentos, S,  N,H
CBAN  40,25,43,3.031
CBAN  40,14,31,2.327
CBAN  40,27,46,3.026
CBAN  40,22,38,2.864
CBAN  40,19,40,2.79
CBAN  40,52,84,3.651
CBAN  40,58,107,3.719
CBAN  40,30,38,3.266
CBAN  40,27,40,3.117
CBAN  40,44,74,3.462
CCER  60,17,27,2.619
CCER  60,16,26,2.631
CCER  60,16,17,2.752
CCER  60,28,41,3.16
CCER  60,12,15,2.396
CCER  60,25,43,2.907
CCER  60,26,33,3.187
CCER  60,27,39,3.183
CCER  60,32,39,3.388
CCER  60,21,26,2.938
CCER  90,34,85,3.06
CCER  90,12,14,2.441
CCER  90,18,37,2.691
CCER  90,29,48,3.138
CCER  90,20,48,2.764
CCER  90,14,20,2.511
CCER  90,24,35,3.075
CCER  90,14,29,2.318
CCER  90,35,73,3.171
CCER  90,26,62,2.77
MBANCON,18,87,1.282
MBANCON,18,74,1.864
MBANCON,20,111,1.231
MBANCON,8,10,2.025
MBANCON,6,10,1.498
MCERCON,15,26,2.246
MCERCON,22,39,2.51
MCERCON,22,43,2.524
MCERCON,17,59,1.649
MCERCON,25,58,2.376
