Tratamentos,REP, S,  N,H
CBAN  40,R1,25,43,3.031
CBAN  40,R2,14,31,2.327
CBAN  40,R3,27,46,3.026
CBAN  40,R4,22,38,2.864
CBAN  40,R5,19,40,2.79
CBAN  40,R6,52,84,3.651
CBAN  40,R7,58,107,3.719
CBAN  40,R8,30,38,3.266
CBAN  40,R9,27,40,3.117
CBAN  40,R10,44,74,3.462
CCER  60,R1,17,27,2.619
CCER  60,R2,16,26,2.631
CCER  60,R3,16,17,2.752
CCER  60,R4,28,41,3.16
CCER  60,R5,12,15,2.396
CCER  60,R6,25,43,2.907
CCER  60,R7,26,33,3.187
CCER  60,R8,27,39,3.183
CCER  60,R9,32,39,3.388
CCER  60,R10,21,26,2.938
CCER  90,R1,34,85,3.06
CCER  90,R2,12,14,2.441
CCER  90,R3,18,37,2.691
CCER  90,R4,29,48,3.138
CCER  90,R5,20,48,2.764
CCER  90,R6,14,20,2.511
CCER  90,R7,24,35,3.075
CCER  90,R8,14,29,2.318
CCER  90,R9,35,73,3.171
CCER  90,R10,26,62,2.77
MCON,R1,18,87,1.282
MCON,R2,18,74,1.864
MCON,R3,20,111,1.231
MCON,R4,8,10,2.025
MCON,R5,6,10,1.498
MCON,R6,15,26,2.246
MCON,R7,22,39,2.51
MCON,R8,22,43,2.524
MCON,R9,17,59,1.649
MCON,R10,25,58,2.376
