Tratamentos, S,  N,H
CCER  60,17,27,2.619
CCER  60,16,26,2.631
CCER  60,16,17,2.752
CCER  60,28,41,3.16
CCER  60,12,15,2.396
CCER  60,25,43,2.907
CCER  60,26,33,3.187
CCER  60,27,39,3.183
CCER  60,32,39,3.388
CCER  60,21,26,2.938
CCER  90,34,85,3.06
CCER  90,12,14,2.441
CCER  90,18,37,2.691
CCER  90,29,48,3.138
CCER  90,20,48,2.764
CCER  90,14,20,2.511
CCER  90,24,35,3.075
CCER  90,14,29,2.318
CCER  90,35,73,3.171
CCER  90,26,62,2.77
MCERCON,15,26,2.246
MCERCON,22,39,2.51
MCERCON,22,43,2.524
MCERCON,17,59,1.649
MCERCON,25,58,2.376
