Tratamentos,REP, S,  N,H
10% MATA,R1,34,85,3.06
10% MATA,R2,12,14,2.441
10% MATA,R3,18,37,2.691
10% MATA,R4,29,48,3.138
10% MATA,R5,20,48,2.764
10% MATA,R6,14,20,2.511
10% MATA,R7,24,35,3.075
10% MATA,R8,14,29,2.318
10% MATA,R9,35,73,3.171
10% MATA,R10,26,62,2.77
40% MATA,R1,17,27,2.619
40% MATA,R2,16,26,2.631
40% MATA,R3,16,17,2.752
40% MATA,R4,28,41,3.16
40% MATA,R5,12,15,2.396
40% MATA,R6,25,43,2.907
40% MATA,R7,26,33,3.187
40% MATA,R8,27,39,3.183
40% MATA,R9,32,39,3.388
40% MATA,R10,21,26,2.938
60% MATA,R1,25,43,3.031
60% MATA,R2,14,31,2.327
60% MATA,R3,27,46,3.026
60% MATA,R4,22,38,2.864
60% MATA,R5,19,40,2.79
60% MATA,R6,52,84,3.651
60% MATA,R7,58,107,3.719
60% MATA,R8,30,38,3.266
60% MATA,R9,27,40,3.117
60% MATA,R10,44,74,3.462
100% MATA,R1,18,87,1.282
100% MATA,R2,18,74,1.864
100% MATA,R3,20,111,1.231
100% MATA,R4,8,10,2.025
100% MATA,R5,6,10,1.498
100% MATA,R6,15,26,2.246
100% MATA,R7,22,39,2.51
100% MATA,R8,22,43,2.524
100% MATA,R9,17,59,1.649
100% MATA,R10,25,58,2.376
