Tratamentos,REP, S,  N,H
20 % MATA,R1,14,21,2.252
20 % MATA,R2,26,185,1.169
20 % MATA,R3,29,122,1.926
20 % MATA,R4,34,97,2.526
20 % MATA,R5,25,66,2.706
20 % MATA,R6,16,22,2.575
20 % MATA,R7,23,27,3.071
20 % MATA,R8,22,32,2.876
20 % MATA,R9,16,23,2.548
20 % MATA,R10,12,22,2.264
40 % MATA,R1,33,47,3.349
40 % MATA,R2,34,53,3.233
40 % MATA,R3,25,47,3.083
40 % MATA,R4,30,49,3.213
40 % MATA,R5,28,42,3.16
40 % MATA,R6,16,28,2.354
40 % MATA,R7,21,27,2.93
40 % MATA,R8,28,41,3.107
40 % MATA,R9,22,27,2.988
40 % MATA,R10,24,37,3.014
50 % MATA,R1,18,26,2.735
50 % MATA,R2,24,30,3.106
50 % MATA,R3,12,21,2.095
50 % MATA,R4,18,33,2.505
50 % MATA,R5,17,19,2.771
50 % MATA,R6,13,19,2.306
50 % MATA,R7,19,31,2.603
50 % MATA,R8,15,32,2.147
50 % MATA,R9,19,35,2.429
60 % MATA,R1,11,15,2.246
60 % MATA,R2,15,17,2.67
60 % MATA,R3,17,21,2.756
60 % MATA,R4,14,15,2.616
60 % MATA,R5,21,26,2.971
60 % MATA,R6,23,28,2.995
60 % MATA,R7,25,36,2.967
60 % MATA,R8,14,20,2.528
60 % MATA,R9,16,22,2.65
60 % MATA,R10,19,30,2.766
70 % MATA,R1,19,25,2.886
70 % MATA,R2,19,23,2.894
70 % MATA,R3,22,35,2.931
70 % MATA,R4,23,35,2.941
70 % MATA,R5,28,49,2.982
70 % MATA,R6,17,34,2.48
70 % MATA,R7,24,29,3.11
70 % MATA,R8,30,41,3.281
70 % MATA,R9,21,32,2.827
70 % MATA,R10,14,16,2.599
100 % MATA,R1,8,29,1.296
100 % MATA,R2,10,163,0.4487
100 % MATA,R3,18,140,0.8046
100 % MATA,R4,10,23,1.529
100 % MATA,R5,16,59,1.616
100 % MATA,R6,18,96,1.926
100 % MATA,R7,21,90,1.419
100 % MATA,R8,13,151,0.7746
100 % MATA,R9,12,54,1.255
100 % MATA,R10,16,56,1.473
